ID,Distrito,Demanda_Distrito_m3_30_lhd
1,Ancon,2108.82
2,Ate,19004.1
3,Barranco,1064.01
4,BELLAVISTA,2380.74
5,BRENA,2727.6
6,CARABAYLLO,10835.04
7,Carmen_Legua_Reynoso,1361.88
8,CHACLACAYO,1305.09
9,CHORRILLOS,10282.86
10,CIENEGUILLA,1095.27
11,COMAS,16712.79
12,EL_AGUSTINO,6419.04
13,El_Callao,14786.37
14,INDEPENDENCIA,6587.07
15,JESUS_MARIA,2363.73
16,LA_MOLINA,4648.5
17,LA_PERLA,1909.71
18,LA_PUNTA,119.37
19,LA_VICTORIA,5657.64
20,LIMA_CERCADO,8139.72
21,LINCE,1760.04
22,LOS_OLIVOS,10354.77
23,LURIGANCHO,7801.5
24,LURIN,2997.72
25,MAGDALENA_DEL_MAR,1872.18
26,Mi_Peru,1488.6
27,MIRAFLORES,3130.02
28,PACHACAMAC,3783.87
29,PUCUSANA,462.63
30,PUEBLO_LIBRE,2707.32
31,PUENTE_PIEDRA,10883.97
32,PUNTA_HERMOSA,536.28
33,PUNTA_NEGRA,229.56
34,RIMAC,5368.86
35,SAN_BARTOLO,244.41
36,SAN_BORJA,3687.39
37,SAN_ISIDRO,1975.83
38,SAN_JUAN_DE_LURIGANCHO,33716.67
39,SAN_JUAN_DE_MIRAFLORES,12089.67
40,SAN_LUIS,1662.3
41,SAN_MARTIN_DE_PORRES,21376.35
42,SAN_MIGUEL,4945.08
43,SANTA_ANITA,6438.75
44,SANTA_MARIA_DEL_MAR,32.01
45,SANTA_ROSA,930.63
46,SANTIAGO_DE_SURCO,11555.34
47,SURQUILLO,2944.77
48,VENTANILLA,10317
49,VILLA_EL_SALVADOR,12461.73
50,VILLA_MARIA_DEL_TRIUNFO,12791.94
